Kish Kash,Basement Jaxx,2003,https://www.discogs.com/master/35632,Electronic,Breakbeat|Leftfield|UK Garage
Confessions On A Dance Floor,Madonna,2005,https://www.discogs.com/master/34205,Electronic|Pop,Disco|Euro House
Push The Button,The Chemical Brothers,2005,https://www.discogs.com/master/27064,Electronic|Hip Hop,Big Beat|Downtempo|Pop Rap|Tech House
Alive 2007,Daft Punk,2007,https://www.discogs.com/master/27126,Electronic,House
We Are The Night,The Chemical Brothers,2007,https://www.discogs.com/master/27127,Electronic,Big Beat|Electro|House
The Fame,Lady Gaga,2008,https://www.discogs.com/master/11126,Electronic|Hip Hop|Pop,Electro|Europop|RnB/Swing|Synth-pop
La Roux,La Roux,2009,https://www.discogs.com/master/150781,Electronic|Pop,Synth-pop
Scary Monsters And Nice Sprites,Skrillex,2010,https://www.discogs.com/master/290272,Electronic,Dubstep|Electro|Progressive House
Bangarang,Skrillex,2011,https://www.discogs.com/master/403802,Electronic,Dubstep|Electro|House|Trance
Random Access Memories,Daft Punk,2013,https://www.discogs.com/master/556257,Electronic|Funk / Soul|Pop,Disco|Electro|Funk|Synth-pop
Syro,Aphex Twin,2014,https://www.discogs.com/master/734427,Electronic,Breakbeat|Downtempo|IDM
Skrillex And Diplo Present Jack Ü,Jack Ü,2015,https://www.discogs.com/master/842162,Electronic|Hip Hop,Dubstep|Experimental|Trap
Skin,Flume,2016,https://www.discogs.com/master/1004715,Electronic|Pop,Ambient|Downtempo|Dub|Experimental
3-D (Der Katalog),Kraftwerk,2017,https://www.discogs.com/master/1185775,Electronic,Electro|Experimental
Woman Worldwide,Justice,2018,https://www.discogs.com/master/1409973,Electronic,Electro|Nu-Disco|Synth-pop|Techno
