The Blues And The Beat,Henry Mancini,1960,https://www.discogs.com/master/378579,Jazz|Pop,Easy Listening
Adventures In Jazz,Stan Kenton,1961,https://www.discogs.com/master/295176,Jazz,Big Band
Kenton's West Side Story,Stan Kenton,1961,https://www.discogs.com/master/214807,Jazz,Big Band|Contemporary Jazz
Encore,Woody Herman,1963,https://www.discogs.com/master/514549,Jazz,Big Band
Guitar From Ipanema,Laurindo Almeida,1964,https://www.discogs.com/master/526992,Jazz,Bossa Nova
Ellington '66,Duke Ellington,1965,https://www.discogs.com/master/410335,Jazz,Big Band
The Far East Suite,Duke Ellington,1967,https://www.discogs.com/master/280135,Jazz,Big Band
"""...And His Mother Called Him Bill""",Duke Ellington And His Orchestra,1968,https://www.discogs.com/master/175058,Jazz,Big Band|Post Bop
Walking In Space,Quincy Jones,1969,https://www.discogs.com/master/117354,Jazz,Big Band|Jazz-Funk|Soul-Jazz
Bitches Brew,Miles Davis,1970,https://www.discogs.com/master/8260,Jazz,Fusion
New Orleans Suite,Duke Ellington,1971,https://www.discogs.com/master/163644,Jazz,Contemporary Jazz|Post Bop
The English Concert,Duke Ellington,1972,https://www.discogs.com/master/500248,Jazz,Big Band
Giant Steps,Woody Herman,1973,https://www.discogs.com/master/476646,Jazz,Big Band|Fusion|Jazz-Funk|Latin Jazz|Soul-Jazz
Thundering Herd,Woody Herman,1974,https://www.discogs.com/master/59870,Funk / Soul|Jazz,Big Band|Jazz-Funk
Images,"Phil Woods, Michel Legrand Et Son Orchestre",1975,https://www.discogs.com/master/345102,Jazz,Contemporary Jazz
The Ellington Suites,Duke Ellington,1976,https://www.discogs.com/master/249745,Jazz,Big Band
Live In Munich,Thad Jones & Mel Lewis,1977,https://www.discogs.com/master/415534,Jazz,
Prime Time,Count Basie Orchestra,1977,https://www.discogs.com/master/410010,Jazz,Big Band|Swing
At Fargo 1940 Live,Duke Ellington,1978,https://www.discogs.com/master/690392,Jazz,Big Band
On The Road,Count Basie Orchestra,1980,https://www.discogs.com/master/238077,Jazz,Big Band|Swing
Walk On The Water,Gerry Mulligan And His Orchestra,1980,https://www.discogs.com/master/463839,Jazz,Cool Jazz
Warm Breeze,Count Basie Orchestra,1981,https://www.discogs.com/master/513917,Jazz,Big Band|Swing
All In Good Time,Rob McConnell & The Boss Brass,1983,https://www.discogs.com/master/471169,Jazz,Big Band|Contemporary Jazz
"""88 Basie Street""",Count Basie Orchestra,1984,https://www.discogs.com/master/375246,Jazz,Big Band
The Cotton Club (Original Music Soundtrack),John Barry,1984,https://www.discogs.com/master/114791,Jazz|Stage & Screen,Dixieland|Ragtime|Soundtrack
The Tonight Show Band With Doc Severinsen,"The Tonight Show Band, Doc Severinsen",1986,https://www.discogs.com/master/664557,Jazz,Big Band|Swing
Bud And Bird (Live At Sweet Basil),"Gil Evans, The Monday Night Orchestra",1987,https://www.discogs.com/master/409163,Jazz,Big Band|Post Bop
Digital Duke,The Duke Ellington Orchestra,1987,https://www.discogs.com/master/179452,Jazz,Big Band|Post Bop
Aura,Miles Davis,1989,https://www.discogs.com/master/62288,Electronic|Jazz,Fusion
Live At The Royal Festival Hall,"Dizzy Gillespie, The United Nation Orchestra",1990,https://www.discogs.com/master/480365,Jazz,Big Band|Bop|Hard Bop
The Turning Point,McCoy Tyner Big Band,1992,https://www.discogs.com/master/1196892,Jazz,Big Band|Contemporary Jazz
Journey,McCoy Tyner Big Band,1993,https://www.discogs.com/master/1006171,Jazz,
Live At Montreux,"Miles Davis, Quincy Jones",1993,https://www.discogs.com/master/188032,Jazz,Big Band|Bop
Basie's Bag,"Count Basie Orchestra, Frank Foster",1994,https://www.discogs.com/master/1110938,Jazz,Big Band|Swing
All Blues,GRP All-Star Big Band,1995,https://www.discogs.com/master/658706,Blues,
Big Band,Joe Henderson,1996,https://www.discogs.com/master/577442,Jazz,
Live At Manchester Craftsmen's Guild,"Count Basie Orchestra, New York Voices",1996,https://www.discogs.com/release/3075416,Jazz,Big Band
Count Plays Duke,Count Basie Orchestra,1998,https://www.discogs.com/master/802766,Jazz,Big Band
Serendipity 18,The Bob Florence Limited Edition,1998,https://www.discogs.com/release/4395730,Jazz,Big Band
52nd Street Themes,Joe Lovano Nonet,2000,https://www.discogs.com/master/666497,Jazz,Bop|Post Bop
Homage To Count Basie,Bob Mintzer Big Band,2000,https://www.discogs.com/master/911292,Jazz,
What Goes Around,Dave Holland Big Band,2002,https://www.discogs.com/master/507936,Jazz,Contemporary Jazz
Wide Angles,Michael Brecker Quindectet,2003,https://www.discogs.com/master/637899,Jazz,Contemporary Jazz|Post Bop
Concert In The Garden,Maria Schneider Orchestra,2004,https://www.discogs.com/release/2399251,Jazz,Big Band|Contemporary Jazz
Overtime,Dave Holland Big Band,2005,https://www.discogs.com/master/485652,Jazz,Big Band
