Danzón (Dance On),Arturo Sandoval,1994,https://www.discogs.com/master/1053432,Jazz|Latin,Latin Jazz
Antonio Brasileiro,Antonio Carlos Jobim,1995,https://www.discogs.com/master/436423,Jazz|Latin,Afro-Cuban|Bossa Nova|Cool Jazz|Samba
Portraits Of Cuba,Paquito D'Rivera,1996,https://www.discogs.com/master/649136,Jazz,Latin Jazz
Habana,Roy Hargrove's Crisol,1997,https://www.discogs.com/master/286560,Jazz,Afro-Cuban Jazz|Post Bop
Hot House,Arturo Sandoval,1998,https://www.discogs.com/master/971254,Jazz|Latin,Big Band
Latin Soul,Poncho Sanchez,1999,https://www.discogs.com/master/970668,Jazz|Latin,Latin Jazz
Live At The Village Vanguard,Chucho Valdés,2000,https://www.discogs.com/master/862619,Jazz,Afro-Cuban Jazz
Nocturne,Charlie Haden,2001,https://www.discogs.com/master/259174,Jazz,Latin Jazz
The Gathering,Caribbean Jazz Project,2002,https://www.discogs.com/master/738350,Jazz,Afro-Cuban Jazz
Live At The Blue Note,Michel Camilo,2003,https://www.discogs.com/master/1000279,Jazz|Latin,Latin Jazz
Land Of The Sun,"Charlie Haden, Gonzalo Rubalcaba",2004,https://www.discogs.com/master/707794,Jazz,Contemporary Jazz|Post Bop
Listen Here!,Eddie Palmieri,2005,https://www.discogs.com/release/4414726,Jazz|Latin,Contemporary Jazz|Latin Jazz
Simpático,The Brian Lynch/Eddie Palmieri Project,2006,https://www.discogs.com/master/1053392,Jazz,Latin Jazz
Funk Tango,Paquito D'Rivera Quintet,2007,https://www.discogs.com/release/8550360,Jazz,Afro-Cuban Jazz|Bop|Bossa Nova|Latin Jazz
Juntos Para Siempre,"Bebo Valdés, Chucho Valdés",2008,https://www.discogs.com/master/1044736,Jazz|Latin,Latin Jazz
Song For Chico,"Arturo O'Farrill, Afro-Latin Jazz Orchestra",2008,https://www.discogs.com/release/8466448,Jazz,Big Band|Latin Jazz
Chucho's Steps,"Chucho Valdés, The Afro-Cuban Messengers",2010,https://www.discogs.com/master/1119674,Jazz|Latin,Latin Jazz|Salsa|Son
¡Ritmo!,"Clare Fischer Latin Jazz Big Band, Brent Fischer, Poncho Sanchez, Alex Acuña, Luis Conte, Peter Erskine, Steve Khan, Alan Pasqua, Don Shelton, Carl Saunders, Andy Martin",2011,https://www.discogs.com/release/11447500,Jazz,Big Band
Song For Maura,Paquito D'Rivera and Trio Corrente,2013,https://www.discogs.com/release/10459054,Jazz|Latin,
The Offense Of The Drum,"Arturo O'Farrill, Afro-Latin Jazz Orchestra",2014,https://www.discogs.com/master/1336129,Jazz,Afro-Cuban Jazz|Big Band|Latin Jazz
Made In Brazil,Eliane Elias,2015,https://www.discogs.com/master/970032,Jazz|Latin,Bossa Nova|Samba
Tribute to Irakere: Live in Marciac,Chucho Valdés,2015,,Jazz|Latin,
Jazz Tango,"Pablo Ziegler Trio, Hector Del Curto, Claudio Ragazzi",2017,https://www.discogs.com/release/10682167,Jazz,
Back to the Sunset,Dafnis Prieto Big Band,2018,https://www.discogs.com/release/11930847,Jazz,Afro-Cuban Jazz|Big Band
