Down To The Moon,Andreas Vollenweider,1986,https://www.discogs.com/master/82239,Electronic,Ambient
Yusef Lateef's Little Symphony,Yusef Lateef,1987,https://www.discogs.com/master/592005,Electronic|Jazz,Contemporary Jazz|Experimental
Folksongs For A Nuclear Village,Shadowfax,1988,https://www.discogs.com/master/191032,"Folk, World, & Country|Electronic|Jazz",Fusion|Neofolk
Passion,Peter Gabriel,1989,https://www.discogs.com/master/29882,"Folk, World, & Country|Electronic|Rock",Art Rock|Folk|Tribal
Fresh Aire 7,Mannheim Steamroller,1990,https://www.discogs.com/master/352026,Electronic,Ambient|Modern Classical
Mark Isham,Mark Isham,1990,https://www.discogs.com/master/197454,Electronic|Jazz,Ambient|Contemporary Jazz|New Age
Shepherd Moons,Enya,1991,https://www.discogs.com/master/27537,Electronic,Ambient|Modern Classical
Forest,George Winston,1994,https://www.discogs.com/master/118166,Classical|Jazz,Contemporary|Contemporary Jazz
Prayer For The Wild Things,Paul Winter,1994,https://www.discogs.com/master/358295,"Folk, World, & Country|Jazz",Contemporary Jazz|Neofolk|New Age
Spanish Angel,The Winter Consort,1994,https://www.discogs.com/master/453176,"Folk, World, & Country|Electronic|Jazz",Neofolk|New Age|Smooth Jazz
The Memory Of Trees,Enya,1995,https://www.discogs.com/master/27630,Electronic,Ambient|Modern Classical
Oracle,Michael Hedges,1996,https://www.discogs.com/master/353140,"Folk, World, & Country",Acoustic|Folk
Landmarks,Clannad,1998,https://www.discogs.com/master/43889,"Folk, World, & Country|Electronic|Rock",Ambient|Celtic|Folk Rock
Celtic Solstice,Paul Winter And Friends,1999,https://www.discogs.com/master/1129264,"Folk, World, & Country",Celtic
Thinking Of You,Kitaro,1999,https://www.discogs.com/master/376645,Electronic,New Age
A Day Without Rain,Enya,2000,https://www.discogs.com/master/27437,Electronic,Ambient|Modern Classical
Acoustic Garden,Tingstad and Rumbel,2002,https://www.discogs.com/release/13351998,Jazz|New Age,
One Quiet Night,Pat Metheny,2003,https://www.discogs.com/master/230901,Jazz,Contemporary Jazz
Returning,William Ackerman,2004,https://www.discogs.com/master/337956,"Folk, World, & Country",Acoustic|Neofolk
Amarantine,Enya,2005,https://www.discogs.com/master/27444,Electronic|Pop,Ambient|Downtempo|Ethereal|New Age
Silver Solstice,"The Winter Consort, Paul Winter And Friends",2005,https://www.discogs.com/release/1980255,"Folk, World, & Country|Jazz",Contemporary Jazz|Neo-Classical|Neofolk|New Age
Crestone,The Winter Consort,2007,https://www.discogs.com/release/9609120,"Folk, World, & Country",Aboriginal|Acoustic|Field Recording|Folk|New Age
Peace Time,Jack DeJohnette,2007,https://www.discogs.com/release/3485323,Electronic|Jazz,Contemporary Jazz|New Age
Prayer For Compassion,David Darling,2009,https://www.discogs.com/release/2941761,Classical,Ambient|Contemporary|Modern|New Age
Miho - Journey To The Mountain,The Winter Consort,2010,https://www.discogs.com/master/1551401,"Folk, World, & Country|Classical|Jazz",Baroque|New Age|Romantic|Smooth Jazz
What's It All About,Pat Metheny,2011,https://www.discogs.com/master/353127,Jazz,Acoustic|Instrumental
Echoes of Love,Omar Akram,2012,,New Age,
Love's River,Laura Sullivan,2013,https://www.discogs.com/release/8449032,Classical,Contemporary|Easy Listening|New Age
Winds of Samsara,"Ricky Kej, Wouter Kellerman",2014,,New Age,
Grace,Paul Avgerinos,2015,https://www.discogs.com/release/8457260,Electronic,Ambient|New Age
White Sun II,White Sun,2016,,New Age,
Dancing On Water (Solo Piano Improvisations In A432),Peter Kater,2017,https://www.discogs.com/release/11598967,Electronic|Pop,Light Music|New Age
Opium Moon,Opium Moon,2018,https://www.discogs.com/release/13091533,Jazz,Fusion
Wings,Peter Kater,2019,,,New Age
