Sgt. Pepper's Lonely Hearts Club Band,The Beatles,1967,https://www.discogs.com/master/23934,Rock,Psychedelic Rock|Rock & Roll
Longing In Their Hearts,Bonnie Raitt,1994,https://www.discogs.com/master/150987,Rock,Blues Rock|Folk Rock
Turbulent Indigo,Joni Mitchell,1994,https://www.discogs.com/master/402936,Rock,Folk Rock
Falling Into You,Céline Dion,1996,https://www.discogs.com/master/134816,Electronic|Funk / Soul|Pop|Rock,AOR|Ballad|Downtempo|Rhythm & Blues|Soft Rock
Hourglass,James Taylor,1997,https://www.discogs.com/master/179320,Rock,Acoustic|Soft Rock
Ray Of Light,Madonna,1998,https://www.discogs.com/master/67803,Electronic|Pop,Ambient|Dance-pop|Downtempo|House|Techno
Brand New Day,Sting,1999,https://www.discogs.com/master/33598,Pop|Rock,Pop Rock
Lovers Rock,Sade,2000,https://www.discogs.com/master/110957,Electronic|Funk / Soul|Reggae|Rock,Downtempo|Lovers Rock|Soft Rock|Soul
Two Against Nature,Steely Dan,2000,https://www.discogs.com/master/17120,Jazz|Pop|Rock,Fusion|Pop Rock
Come Away With Me,Norah Jones,2002,https://www.discogs.com/master/102288,Jazz,Contemporary Jazz
Justified,Justin Timberlake,2002,https://www.discogs.com/master/90819,Hip Hop|Pop,RnB/Swing
Breakaway,Kelly Clarkson,2004,https://www.discogs.com/master/133077,Pop|Rock,Ballad|Pop Rock|Soft Rock
Genius Loves Company,Ray Charles,2004,https://www.discogs.com/master/106274,Blues|Jazz,Easy Listening|Piano Blues|Swing
Back To Black,Amy Winehouse,2006,https://www.discogs.com/master/51256,Funk / Soul|Pop,Soul
Continuum,John Mayer,2006,https://www.discogs.com/master/170454,Blues|Rock,Alternative Rock|Blues Rock|Indie Rock|Pop Rock
Rockferry,Duffy,2008,https://www.discogs.com/master/71659,Funk / Soul|Pop,Neo Soul|Soul|Vocal
The E.N.D,Black Eyed Peas,2009,https://www.discogs.com/master/134821,Electronic|Hip Hop|Pop,Conscious|Electro|Pop Rap|RnB/Swing
The Fame Monster,Lady Gaga,2009,https://www.discogs.com/master/201057,Electronic|Pop,Dance-pop|Europop
21,Adele,2011,https://www.discogs.com/master/303567,Blues|Funk / Soul|Jazz|Pop,Acoustic|Neo Soul|Piano Blues|Soul-Jazz
Stronger,Kelly Clarkson,2011,https://www.discogs.com/master/387746,Electronic|Funk / Soul|Pop|Rock,Country Rock|Electro|Pop Rock|Power Pop|Rhythm & Blues|Synth-pop
Unorthodox Jukebox,Bruno Mars,2012,https://www.discogs.com/master/505655,Electronic|Funk / Soul|Pop|Rock,Electro|Pop Rock|Rhythm & Blues
1989,Taylor Swift,2014,https://www.discogs.com/master/750386,Pop,Vocal
In The Lonely Hour,Sam Smith,2014,https://www.discogs.com/master/691657,Electronic|Pop,Ballad|Synth-pop|Vocal
25,Adele,2015,https://www.discogs.com/master/912912,Blues|Funk / Soul|Pop,Ballad|Neo Soul|Piano Blues
÷ (Divide),Ed Sheeran,2017,https://www.discogs.com/master/1142167,"Folk, World, & Country|Pop|Rock",Acoustic|Indie Pop|Pop Rock
Sweetener,Ariana Grande,2018,https://www.discogs.com/master/1408887,Hip Hop|Pop,RnB/Swing
