CrazySexyCool,TLC,1994,https://www.discogs.com/master/51777,Electronic|Funk / Soul|Hip Hop,RnB/Swing
II,Boyz II Men,1994,https://www.discogs.com/master/77912,Hip Hop,RnB/Swing
Words,The Tony Rich Project,1995,https://www.discogs.com/master/466597,Funk / Soul|Hip Hop,Contemporary R&B|RnB/Swing
Baduizm,Erykah Badu,1997,https://www.discogs.com/master/43655,Funk / Soul|Hip Hop,Neo Soul|RnB/Swing
The Miseducation Of Lauryn Hill,Lauryn Hill,1998,https://www.discogs.com/master/57279,Funk / Soul|Hip Hop,Conscious|Neo Soul|RnB/Swing
Fanmail,TLC,1999,https://www.discogs.com/master/51821,Hip Hop,Electro|RnB/Swing
Voodoo,D'Angelo,2000,https://www.discogs.com/master/151766,Funk / Soul|Hip Hop,Funk|Neo Soul|Soul
Songs In A Minor,Alicia Keys,2001,https://www.discogs.com/master/144290,Funk / Soul|Hip Hop,Neo Soul|RnB/Swing
Voyage To India,India.Arie,2002,https://www.discogs.com/master/131026,Funk / Soul,Neo Soul
Dance With My Father,Luther Vandross,2003,https://www.discogs.com/master/166303,Funk / Soul|Hip Hop|Pop,Contemporary R&B|Soul|Vocal
The Diary Of Alicia Keys,Alicia Keys,2003,https://www.discogs.com/master/144296,Funk / Soul|Hip Hop,Neo Soul|RnB/Swing
Get Lifted,John Legend,2004,https://www.discogs.com/master/112604,Funk / Soul|Hip Hop,Neo Soul|RnB/Swing
The Breakthrough,Mary J. Blige,2005,https://www.discogs.com/master/78820,Funk / Soul|Hip Hop|Rock,RnB/Swing|Soul
Funk This,Chaka Khan,2007,https://www.discogs.com/master/118918,Funk / Soul,Contemporary R&B|Soul
Jennifer Hudson,Jennifer Hudson,2008,https://www.discogs.com/master/146177,Funk / Soul|Pop,Rhythm & Blues|Vocal
BLACKsummers'night,Maxwell,2009,https://www.discogs.com/master/234568,Funk / Soul,Neo Soul|Soul
Wake Up!,"John Legend, The Roots",2010,https://www.discogs.com/master/278848,Funk / Soul|Hip Hop|Reggae,Roots Reggae|Soul
F.A.M.E.,Chris Brown,2011,https://www.discogs.com/master/363641,Electronic|Hip Hop|Pop,Pop Rap
Black Radio,Robert Glasper Experiment,2012,https://www.discogs.com/master/416242,Funk / Soul|Hip Hop|Jazz,Contemporary Jazz|Hip Hop|Neo Soul|Rhythm & Blues
Girl On Fire,Alicia Keys,2012,https://www.discogs.com/master/498835,Funk / Soul|Jazz,RnB/Swing
Black Messiah,"D'Angelo, The Vanguard",2014,https://www.discogs.com/master/771416,Blues|Funk / Soul,Funk|Soul
Love Marriage & Divorce,"Toni Braxton, Babyface",2014,https://www.discogs.com/master/660559,Funk / Soul|Hip Hop|Pop,RnB/Swing|Soul
Live,Lalah Hathaway,2015,https://www.discogs.com/master/954631,Funk / Soul|Jazz,Contemporary Jazz|Contemporary R&B
XXIVK Magic,Bruno Mars,2016,https://www.discogs.com/master/1092070,Electronic|Funk / Soul|Hip Hop|Pop,Contemporary R&B|Funk|RnB/Swing|Synth-pop
H.E.R.,H.E.R.,2017,https://www.discogs.com/master/1497218,Funk / Soul|Hip Hop,RnB/Swing|Soul
