Anthem,Black Uhuru,1983,https://www.discogs.com/master/35592,Reggae,Dub|Roots Reggae
Babylon The Bandit,Steel Pulse,1985,https://www.discogs.com/master/202648,Reggae,Roots Reggae
Cliff Hanger,Jimmy Cliff,1985,https://www.discogs.com/master/191339,Reggae,Reggae
No Nuclear War,Peter Tosh,1987,https://www.discogs.com/master/99998,Reggae,Roots Reggae
Conscious Party,Ziggy Marley And The Melody Makers,1988,https://www.discogs.com/master/79551,Reggae,
Bad Boys,Inner Circle,1989,https://www.discogs.com/master/101497,Reggae|Stage & Screen,Reggae-Pop|Theme
One Bright Day,Ziggy Marley And The Melody Makers,1989,https://www.discogs.com/master/79571,Reggae,Reggae-Pop
Time Will Tell - A Tribute To Bob Marley,Bunny Wailer,1990,https://www.discogs.com/master/638931,Reggae,Roots Reggae
As Raw As Ever,Shabba Ranks,1991,https://www.discogs.com/master/45936,Hip Hop|Reggae,Ragga|Ragga HipHop
X-Tra Naked,Shabba Ranks,1992,https://www.discogs.com/master/46037,Electronic|Hip Hop,Downtempo|Ragga HipHop
Crucial! Roots Classics,Bunny Wailer,1994,https://www.discogs.com/master/204724,Reggae,Roots Reggae
Boombastic,Shaggy,1995,https://www.discogs.com/master/83436,Hip Hop,Ragga HipHop
Hall Of Fame - A Tribute To Bob Marley's 50th Anniversary,Bunny Wailer,1995,https://www.discogs.com/master/296175,Reggae,Roots Reggae
Fallen Is Babylon,Ziggy Marley And The Melody Makers,1997,https://www.discogs.com/master/402669,Reggae,Reggae|Reggae-Pop
Friends,Sly & Robbie,1998,https://www.discogs.com/master/73781,Reggae,Reggae-Pop
Calling Rastafari,Burning Spear,1999,https://www.discogs.com/master/108134,Reggae,Roots Reggae
Art And Life,Beenie Man,2000,https://www.discogs.com/master/148050,Hip Hop|Reggae,Dancehall|Ragga HipHop
Halfway Tree,Damian Marley,2001,https://www.discogs.com/master/143492,Reggae,
Dutty Rock,Sean Paul,2002,https://www.discogs.com/master/138061,Hip Hop|Reggae,Ragga
Jamaican E.T.,Lee Perry,2002,https://www.discogs.com/master/79287,Reggae,Dub|Reggae
True Love,Toots & The Maytals,2004,https://www.discogs.com/master/213207,Reggae|Rock,Reggae-Pop|Ska
Welcome To Jamrock,Damian Marley,2005,https://www.discogs.com/master/143500,Hip Hop,Ragga HipHop
Love Is My Religion,Ziggy Marley,2006,https://www.discogs.com/master/143515,"Folk, World, & Country|Funk / Soul|Reggae|Rock",Acoustic|African|Dub|Folk|Reggae|Reggae-Pop|Rhythm & Blues|Ska|Soft Rock
Mind Control,Stephen Marley,2007,https://www.discogs.com/master/143514,"Electronic|Folk, World, & Country|Funk / Soul|Hip Hop|Reggae",African|Dancehall|Ragga HipHop|Reggae
Jah Is Real,Burning Spear,2008,https://www.discogs.com/master/210439,Reggae,Roots Reggae
Mind Control Acoustic,Stephen Marley,2009,https://www.discogs.com/release/2024127,Reggae,Roots Reggae
Before The Dawn,Buju Banton,2010,https://www.discogs.com/release/2593234,Reggae,Dancehall|Roots Reggae
Revelation - Pt. 1 The Root Of Life,Stephen Marley,2011,https://www.discogs.com/master/375730,Reggae,Roots Reggae
Rebirth,Jimmy Cliff,2012,https://www.discogs.com/master/459436,Reggae,
In Concert,Ziggy Marley,2013,https://www.discogs.com/master/1326525,Reggae,Roots Reggae
Fly Rasta,Ziggy Marley,2014,https://www.discogs.com/master/677610,Reggae,
Strictly Roots,Morgan Heritage,2015,https://www.discogs.com/master/995862,Reggae,Reggae|Roots Reggae
Ziggy Marley,Ziggy Marley,2016,https://www.discogs.com/master/1020448,Reggae,
Stony Hill,Damian Marley,2017,https://www.discogs.com/master/1212835,Reggae,Dancehall|Reggae
44/876,"Sting, Shaggy",2018,https://www.discogs.com/master/1351691,Reggae,
Rapture,Koffee,2019,https://www.discogs.com/release/13451492,Reggae,Dancehall|Reggae
