On Broadway,Tito Puente & His Latin Ensemble,1983,https://www.discogs.com/master/1011674,Jazz|Latin,Bolero|Cha-Cha|Latin Jazz|Mambo
Palo Pá Rumba,Eddie Palmieri,1984,https://www.discogs.com/master/550826,Latin,Salsa|Son
Escenas,"Ruben Blades, Seis Del Solar",1985,https://www.discogs.com/master/228545,Latin,Bolero|Guaguancó|Guaracha|Salsa
Solito,Eddie Palmieri,1985,https://www.discogs.com/master/431014,Jazz|Latin,Afro-Cuban Jazz|Latin Jazz|Salsa
La Verdad - The Truth,Eddie Palmieri,1987,https://www.discogs.com/master/498873,Jazz|Latin,Latin Jazz|Salsa
Antecedente,"Ruben Blades, Son Del Solar",1988,https://www.discogs.com/master/215704,Latin,Bolero|Cha-Cha|Rumba|Salsa
Ritmo En El Corazon,"Celia Cruz, Ray Barretto",1988,https://www.discogs.com/master/448725,Jazz|Latin,Cha-Cha|Guaguancó|Guaracha|Latin Jazz|Salsa
Bachata Rosa,Juan Luis Guerra 4.40,1990,https://www.discogs.com/master/219449,Latin,Bachata|Merengue|Salsa
Goza Mi Timbal,Tito Puente,1990,https://www.discogs.com/master/693613,Jazz,Latin Jazz
Frenesí,Linda Ronstadt,1992,https://www.discogs.com/master/386802,"Folk, World, & Country|Latin",Bolero|Cubano
Mi Tierra,Gloria Estefan,1993,https://www.discogs.com/master/104930,Jazz|Latin,Afro-Cuban Jazz|Latin Jazz
Master Sessions Volume I,Cachao,1994,https://www.discogs.com/master/624025,Jazz|Latin,Latin Jazz
Abriendo Puertas,Gloria Estefan,1995,https://www.discogs.com/master/103703,"Folk, World, & Country|Latin",Rumba|Salsa|Sonero
La Rosa De Los Vientos,Ruben Blades,1996,https://www.discogs.com/master/991917,Latin,Salsa
Buena Vista Social Club,Buena Vista Social Club,1997,https://www.discogs.com/master/64210,Jazz|Latin,Afro-Cuban Jazz|Son|Trova
Contra La Corriente,Marc Anthony,1997,https://www.discogs.com/master/532727,Latin|Pop,Ballad|Salsa|Vocal
Mambo Birdland,Tito Puente,1999,https://www.discogs.com/master/1281974,Latin,Cha-Cha|Guaguancó|Mambo|Salsa
Alma Caribeña / Caribbean Soul,Gloria Estefan,2000,https://www.discogs.com/master/192897,Latin,Cubano|Salsa
Déjame Entrar,Carlos Vives,2001,https://www.discogs.com/master/521896,Latin,Cumbia|Vallenato
El Arte Del Sabor,Bebo Valdés Trio,2001,https://www.discogs.com/master/616701,Jazz|Latin,Latin Jazz
Buenos Hermanos,Ibrahim Ferrer,2003,https://www.discogs.com/master/573713,"Folk, World, & Country|Latin",Cubano|Guaguancó|Son
Ahora Si!,Cachao,2004,https://www.discogs.com/release/4227067,Jazz|Latin,
Bebo De Cuba ,Bebo Valdés,2004,https://www.discogs.com/master/1299165,Jazz|Latin,
Directo Al Corazón,Gilberto Santa Rosa,2006,https://www.discogs.com/master/1481828,Latin,Salsa
La Llave De Mi Corazón,Juan Luis Guerra 4.40,2007,https://www.discogs.com/master/705940,Latin,Bachata
Señor Bachata,José Feliciano,2007,,Latin|Pop|Rock,
Ciclos,Luis Enrique,2010,https://www.discogs.com/master/1179443,Latin|Pop,
Viva La Tradicion,Spanish Harlem Orchestra,2010,https://www.discogs.com/release/5042855,Jazz|Latin,Cha-Cha|Latin Jazz|Salsa
The Last Mambo - La Leyenda En Vivo,Cachao,2011,https://www.discogs.com/master/1277052,Latin,Descarga|Mambo
Pacific Mambo Orchestra,Pacific Mambo Orchestra,2012,https://www.discogs.com/release/6066179,Latin,Bolero|Salsa
Retro,Marlow Rosado Y La Riqueña,2013,https://www.discogs.com/release/6993866,Latin,Salsa
Más Corazón Profundo,Carlos Vives,2014,https://www.discogs.com/master/1304660,Latin|Pop,
Son de Panamá,"Ruben Blades, Roberto Delgado & Orquesta",2015,https://www.discogs.com/release/11023708,Latin,Salsa
Donde Están?,"Jose Lugo, Guasábara Combo",2017,,Latin,
Salsa Big Band,"Ruben Blades, Roberto Delgado & Orquesta",2017,https://www.discogs.com/release/11023801,Latin,Salsa
Anniversary,Spanish Harlem Orchestra,2018,https://www.discogs.com/release/12017077,Latin,Salsa
