Screamadelica,Primal Scream,1991,https://www.discogs.com/master/28274,Electronic|Rock,Acid House|Downtempo|Dub|Indie Rock|Leftfield|Psychedelic Rock
Elegant Slumming,M People,1993,https://www.discogs.com/master/65161,Electronic,Acid Jazz|Downtempo
Suede,Suede,1993,https://www.discogs.com/master/10056,Rock,Brit Pop|Glam
Dummy,Portishead,1994,https://www.discogs.com/master/5542,Electronic,Trip Hop
Different Class,Pulp,1995,https://www.discogs.com/master/87137,Rock,Brit Pop
New Forms,Roni Size / Reprazent,1997,https://www.discogs.com/master/73148,Electronic,Drum n Bass
Bring It On,Gomez,1998,https://www.discogs.com/master/115251,Rock,Indie Rock
OK,Talvin Singh,1998,https://www.discogs.com/master/138752,Electronic,Breakbeat|Drum n Bass|Jungle
"Stories From The City, Stories From The Sea",PJ Harvey,2000,https://www.discogs.com/master/52673,Rock,Indie Rock
The Hour Of Bewilderbeast,Badly Drawn Boy,2000,https://www.discogs.com/master/55605,Electronic|Rock,Downtempo|Folk Rock|Leftfield
A Little Deeper,Ms. Dynamite,2002,https://www.discogs.com/master/153558,Electronic|Hip Hop,Deep House|UK Garage
Boy In Da Corner,Dizzee Rascal,2003,https://www.discogs.com/master/37683,Electronic|Hip Hop,Grime
Franz Ferdinand,Franz Ferdinand,2004,https://www.discogs.com/master/4334,Rock,Alternative Rock|Indie Rock
I Am A Bird Now,Antony And The Johnsons,2005,https://www.discogs.com/master/3569,Rock,Art Rock|Avantgarde
"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,2006,https://www.discogs.com/master/76279,Rock,Indie Rock
Myths Of The Near Future,Klaxons,2007,https://www.discogs.com/master/41642,Electronic|Pop|Rock,Indie Rock|Mod|Power Pop
The Seldom Seen Kid,Elbow,2008,https://www.discogs.com/master/81185,Rock,Indie Rock
Speech Therapy,Speech Debelle,2009,https://www.discogs.com/master/177983,Hip Hop,Conscious
XX,The XX,2009,https://www.discogs.com/master/175869,Pop|Rock,Alternative Rock|Indie Rock
Let England Shake,PJ Harvey,2011,https://www.discogs.com/master/310242,Pop|Rock,Alternative Rock|Indie Rock
An Awesome Wave,alt-J,2012,https://www.discogs.com/master/443194,"Folk, World, & Country|Pop|Rock",Experimental|Folk Rock
Overgrown,James Blake,2013,https://www.discogs.com/master/541517,Electronic|Funk / Soul|Hip Hop,Experimental|Leftfield|Soul
Dead,Young Fathers,2014,https://www.discogs.com/master/651096,Electronic|Hip Hop,Conscious|Hip Hop
At Least For Now,Benjamin Clementine,2015,https://www.discogs.com/master/782337,"Folk, World, & Country|Funk / Soul|Jazz|Pop",Soul|Soul-Jazz|Vocal
Konnichiwa,Skepta,2016,https://www.discogs.com/master/1061011,Hip Hop,Grime
Process,Sampha,2017,https://www.discogs.com/master/1127152,Electronic|Funk / Soul,Contemporary R&B|Soul
Visions Of A Life,Wolf Alice,2017,https://www.discogs.com/master/1243663,Rock,Alternative Rock|Indie Rock
