Wave,Antonio Carlos Jobim,1967,https://www.discogs.com/master/96362,Jazz,Bossa Nova|Latin Jazz
There Goes Rhymin' Simon,Paul Simon,1973,https://www.discogs.com/master/55686,Rock,Folk Rock|Pop Rock
Ambient 2 (The Plateaux Of Mirror),"Harold Budd, Brian Eno",1980,https://www.discogs.com/master/6195,Electronic,Ambient
Kill 'Em All,Metallica,1983,https://www.discogs.com/master/6387,Rock,Speed Metal|Thrash
Ride The Lightning,Metallica,1984,https://www.discogs.com/master/6440,Rock,Speed Metal|Thrash
Midnight Marauders,A Tribe Called Quest,1993,https://www.discogs.com/master/45947,Hip Hop,Jazzy Hip-Hop
Evil Empire,Rage Against The Machine,1996,https://www.discogs.com/master/7951,Hip Hop|Rock,Funk Metal
Room For Squares,John Mayer,2001,https://www.discogs.com/master/149466,Rock,Alternative Rock|Indie Rock
The Very Best Of: Only The Beginning,Chicago,2002,https://www.discogs.com/master/832932,Rock,Pop Rock|Soft Rock
The Audition,Janelle Monáe,2003,https://www.discogs.com/release/5130244,Funk / Soul,Funk|Neo Soul|Rhythm & Blues
Demon Days,Gorillaz,2005,https://www.discogs.com/master/58002,Electronic|Funk / Soul|Hip Hop|Rock,Downtempo|Pop Rap|Pop Rock|Trip Hop
Good Girl Gone Bad,Rihanna,2007,https://www.discogs.com/master/20387,Funk / Soul|Hip Hop|Pop,Ballad|Contemporary R&B|Europop|RnB/Swing
Stars Of The Lid And Their Refinement Of The Decline,Stars Of The Lid,2007,https://www.discogs.com/master/9874,Electronic,Ambient|Drone|Modern Classical
808s & Heartbreak,Kanye West,2008,https://www.discogs.com/master/8489,Electronic|Hip Hop|Pop,Experimental
Plastic Beach,Gorillaz,2010,https://www.discogs.com/master/231219,Electronic|Hip Hop|Pop|Rock,Electro|Leftfield|Trip Hop
Section 80,Kendrick Lamar,2011,https://www.discogs.com/master/547891,Hip Hop,Conscious
Watch The Throne,"Jay-Z, Kanye West",2011,https://www.discogs.com/master/361232,Hip Hop,Pop Rap
The Electric Lady,Janelle Monáe,2013,https://www.discogs.com/master/595570,Funk / Soul|Hip Hop|Pop|Rock,Funk|Neo Soul|RnB/Swing
Yours Truly,Ariana Grande,2013,https://www.discogs.com/master/593431,Hip Hop|Pop,RnB/Swing
My Everything,Ariana Grande,2014,https://www.discogs.com/master/723794,Electronic|Hip Hop|Pop,Ballad|Europop|Pop Rap|RnB/Swing
Born In The Echoes,The Chemical Brothers,2015,https://www.discogs.com/master/861123,Electronic,Breakbeat|Electro
Dangerous Woman,Ariana Grande,2016,https://www.discogs.com/master/1001638,Hip Hop|Pop,RnB/Swing
The Life Of Pablo,Kanye West,2016,https://www.discogs.com/master/958466,Hip Hop,
Untitled Unmastered.,Kendrick Lamar,2016,https://www.discogs.com/master/970164,Hip Hop,
Bandwagonesque,Ben Gibbard,2017,https://www.discogs.com/master/1230386,Pop|Rock,Indie Pop|Indie Rock|Power Pop
Black Panther The Album (Music From And Inspired By),Various,2018,https://www.discogs.com/master/1313316,Funk / Soul|Hip Hop|Stage & Screen,Conscious|Contemporary R&B|Soundtrack
Dirty Computer,Janelle Monáe,2018,https://www.discogs.com/master/1354359,Funk / Soul,
"Thank U, Next",Ariana Grande,2019,https://www.discogs.com/master/1498712,Hip Hop|Pop,RnB/Swing|Trap
